2025-03-16 02:17:28,427 INFO    Thread-75 (_run_job):12944 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 02:17:28,428 INFO    Thread-75 (_run_job):12944 [wandb_setup.py:_flush():67] Configure stats pid to 12944
2025-03-16 02:17:28,428 INFO    Thread-75 (_run_job):12944 [wandb_setup.py:_flush():67] Loading settings from C:\Users\ANJALI VERMA\.config\wandb\settings
2025-03-16 02:17:28,428 INFO    Thread-75 (_run_job):12944 [wandb_setup.py:_flush():67] Loading settings from K:\DA6401\da6401_assignment1\wandb\settings
2025-03-16 02:17:28,428 INFO    Thread-75 (_run_job):12944 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-16 02:17:28,428 INFO    Thread-75 (_run_job):12944 [wandb_init.py:setup_run_log_directory():647] Logging user logs to K:\DA6401\da6401_assignment1\wandb\run-20250316_021728-di2gbus8\logs\debug.log
2025-03-16 02:17:28,438 INFO    Thread-75 (_run_job):12944 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to K:\DA6401\da6401_assignment1\wandb\run-20250316_021728-di2gbus8\logs\debug-internal.log
2025-03-16 02:17:28,439 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():761] calling init triggers
2025-03-16 02:17:28,439 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'ReLU', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 20, 'epsilon': 1e-08, 'hidden_size': 128, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'momentum': 0.9, 'num_layers': 4, 'optimizer': 'adam', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
config: {'_wandb': {}}
2025-03-16 02:17:28,439 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():784] starting backend
2025-03-16 02:17:28,439 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():788] sending inform_init request
2025-03-16 02:17:28,442 INFO    Thread-75 (_run_job):12944 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-16 02:17:28,442 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():798] backend started and connected
2025-03-16 02:17:28,445 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'ReLU', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 20, 'epsilon': 1e-08, 'hidden_size': 128, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'momentum': 0.9, 'num_layers': 4, 'optimizer': 'adam', 'weight_decay': 0.0005, 'weight_init': 'Xavier'}
2025-03-16 02:17:28,447 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():891] updated telemetry
2025-03-16 02:17:28,448 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 02:17:28,915 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 02:17:29,145 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 02:17:29,145 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 02:17:29,145 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 02:17:29,145 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 02:17:29,145 INFO    Thread-75 (_run_job):12944 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 02:19:53,428 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_finish():2112] finishing run da24m002-indian-institute-of-technology-madras/da6401_a1/di2gbus8
2025-03-16 02:19:53,429 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-16 02:19:53,429 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_restore():2322] restore
2025-03-16 02:19:53,429 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_restore():2328] restore done
2025-03-16 02:19:55,628 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-16 02:19:55,628 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-16 02:19:55,631 INFO    Thread-75 (_run_job):12944 [wandb_run.py:_footer_sync_info():3917] logging synced files
